"Choice_Number","Information","Reward","Subject","Trial","Age"
1,0.86593378708473,0.692307692307692,"YA1",54,20
2,0.693095505500022,0.366666666666667,"YA1",54,20
3,0.833640414324997,0.636363636363636,"YA1",54,20
4,0.687825815764053,0.633333333333333,"YA1",54,20
5,0.858201174351173,0.388888888888889,"YA1",54,20
1,0.861282868477131,0.294117647058824,"YA1",55,20
2,0.886067786072871,0.703703703703704,"YA1",55,20
3,0.693093634614899,0.354838709677419,"YA1",55,20
4,0.743721697814225,0.666666666666667,"YA1",55,20
5,0.686016344744401,0.645161290322581,"YA1",55,20
6,0.859556446057869,0.421052631578947,"YA1",55,20
1,0.86716325238019,0.714285714285714,"YA1",56,20
2,0.693133878065418,0.34375,"YA1",56,20
3,0.692381342579698,0.65625,"YA1",56,20
4,0.855410015530475,0.45,"YA1",56,20
5,0.859382809310946,0.692307692307692,"YA1",56,20
1,0.860881932880741,0.285714285714286,"YA1",57,20
2,0.887833943847755,0.724137931034483,"YA1",57,20
3,0.834446432500945,0.433333333333333,"YA1",57,20
4,0.810095456180418,0.928571428571429,"YA1",57,20
5,0.755023443057898,0.8125,"YA1",57,20
6,0.638297649235334,1,"YA1",57,20
1,0.860648583742915,0.277777777777778,"YA1",58,20
2,0.831854037943086,0.954545454545455,"YA1",58,20
3,0.85690092768919,1,"YA1",58,20
4,0.659928536007569,1,"YA1",58,20
1,0.861360601894762,0.297297297297297,"YA1",59,20
2,0.88752974599161,0.7,"YA1",59,20
3,0.693141085401197,0.333333333333333,"YA1",59,20
4,0.691383786088217,0.666666666666667,"YA1",59,20
5,0.753054429555981,0.714285714285714,"YA1",59,20
6,0.857787118720718,0.476190476190476,"YA1",59,20
1,0.86114817609717,0.289473684210526,"YA1",60,20
2,0.888462203940968,0.709677419354839,"YA1",60,20
3,0.693147180559981,0.323529411764706,"YA1",60,20
4,0.690960300808804,0.676470588235294,"YA1",60,20
5,0.873085095579128,0.5,"YA1",60,20
6,0.703352524010535,0.733333333333333,"YA1",60,20
1,0.860928442349859,0.282051282051282,"YA1",61,20
2,0.889422576291624,0.71875,"YA1",61,20
3,0.835454794833026,0.451612903225806,"YA1",61,20
4,0.812355304712661,0.933333333333333,"YA1",61,20
5,0.756016228652695,0.823529411764706,"YA1",61,20
6,0.630271216310586,1,"YA1",61,20
1,0.860689771087179,0.275,"YA1",62,20
2,0.889112038412917,0.696969696969697,"YA1",62,20
3,0.69314096505015,0.314285714285714,"YA1",62,20
4,0.855251302855921,0.846153846153846,"YA1",62,20
5,1.05986902932016,0.956521739130435,"YA1",62,20
1,0.869221412012832,0.705882352941177,"YA1",63,20
2,0.830333194344982,0.46875,"YA1",63,20
3,0.889240915540756,0.268292682926829,"YA1",63,20
4,0.69304068348792,0.6,"YA1",63,20
5,0.74768220394599,0.75,"YA1",63,20
6,0.737919129025126,1,"YA1",63,20
7,0.738236026060757,0.685714285714286,"YA1",63,20
8,0.693147180559944,0.75,"YA1",63,20
9,0.437356799197577,0.923076923076923,"YA1",63,20
10,0.291084325992906,0.923076923076923,"YA1",63,20
1,0.860243808158092,0.261904761904762,"YA1",64,20
2,0.833867740261121,1,"YA1",64,20
3,0.861459098909444,0.958333333333333,"YA1",64,20
4,0.653166200759121,1,"YA1",64,20
1,0.868783017892751,0.685714285714286,"YA1",65,20
2,0.829797227526083,0.454545454545455,"YA1",65,20
